mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rfc__ccp_alpha,param_rfc__max_depth,param_rfc__max_features,param_rfc__min_samples_leaf,param_rfc__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
36.50922427177429,1.1589449443233797,0.38708925247192383,0.0309230097380127,0.1372033759818312,10,log2,4,5,"{'rfc__ccp_alpha': 0.1372033759818312, 'rfc__max_depth': 10, 'rfc__max_features': 'log2', 'rfc__min_samples_leaf': 4, 'rfc__min_samples_split': 5}",0.8541258649954302,0.9741154197675936,0.9001501501501501,0.8900313356835096,0.9279908601273054,0.9092827261447978,0.04012373798722242,2
51.09342465400696,1.613310340555401,0.3977519989013672,0.026532983800259723,0.21181293469603135,8,sqrt,3,6,"{'rfc__ccp_alpha': 0.21181293469603135, 'rfc__max_depth': 8, 'rfc__max_features': 'sqrt', 'rfc__min_samples_leaf': 3, 'rfc__min_samples_split': 6}",0.8851351351351351,0.02865909387648518,0.9713409061235149,0.9713409061235149,0.9279908601273054,0.7568933802771911,0.36551907032954384,10
44.87373290061951,0.9993448747621456,0.4230388641357422,0.026844194008974157,0.07438365163611807,13,log2,2,8,"{'rfc__ccp_alpha': 0.07438365163611807, 'rfc__max_depth': 13, 'rfc__max_features': 'log2', 'rfc__min_samples_leaf': 2, 'rfc__min_samples_split': 8}",0.7981459720590155,0.9717978848413631,0.9005092048570309,0.8805653479566523,0.9039007670964583,0.890983835362104,0.05570620095677229,4
77.28396797180176,2.981697859793611,0.37866435050964353,0.02549369834868154,0.2030421821938733,13,sqrt,6,15,"{'rfc__ccp_alpha': 0.2030421821938733, 'rfc__max_depth': 13, 'rfc__max_features': 'sqrt', 'rfc__min_samples_leaf': 6, 'rfc__min_samples_split': 15}",0.8851351351351351,0.9713409061235149,0.9713409061235149,0.8900313356835096,0.9279908601273054,0.9291678286385959,0.037494173845993115,1
56.99273920059204,1.9917327865279129,0.414408540725708,0.01740581190701042,0.0843490401043171,9,sqrt,1,7,"{'rfc__ccp_alpha': 0.0843490401043171, 'rfc__max_depth': 9, 'rfc__max_features': 'sqrt', 'rfc__min_samples_leaf': 1, 'rfc__min_samples_split': 7}",0.7341363102232668,0.9722548635592114,0.9057644601122862,0.8735474605039822,0.9006691692508568,0.8772744527299207,0.07859095372159626,6
21.010742092132567,0.252192535601577,0.3968080520629883,0.04156717760411044,0.19453918773746262,5,log2,4,19,"{'rfc__ccp_alpha': 0.19453918773746262, 'rfc__max_depth': 5, 'rfc__max_features': 'log2', 'rfc__min_samples_leaf': 4, 'rfc__min_samples_split': 19}",0.02865909387648518,0.9741154197675936,0.9713409061235149,0.8900313356835096,0.9279908601273054,0.7584275231156817,0.36619301644928065,9
51.02151236534119,0.9611049814460891,0.356264591217041,0.03752506987370624,0.11536984056323296,8,sqrt,8,2,"{'rfc__ccp_alpha': 0.11536984056323296, 'rfc__max_depth': 8, 'rfc__max_features': 'sqrt', 'rfc__min_samples_leaf': 8, 'rfc__min_samples_split': 2}",0.5856182269225747,0.9709818514166341,0.9150345998172085,0.8820015667841755,0.9003753876285294,0.8508023265138244,0.13588406146221632,7
53.79369807243347,0.4136900812646922,0.17649540901184083,0.02051716223909717,0.14550494801877678,14,sqrt,1,12,"{'rfc__ccp_alpha': 0.14550494801877678, 'rfc__max_depth': 14, 'rfc__max_features': 'sqrt', 'rfc__min_samples_leaf': 1, 'rfc__min_samples_split': 12}",0.35977281629455543,0.9741154197675936,0.9245005875440658,0.8900313356835096,0.9279908601273054,0.815282203883406,0.22931904494668753,8
27.783572101593016,0.9554184745213996,0.2900094985961914,0.054878121775926006,0.1036654849976309,8,log2,3,4,"{'rfc__ccp_alpha': 0.1036654849976309, 'rfc__max_depth': 8, 'rfc__max_features': 'log2', 'rfc__min_samples_leaf': 3, 'rfc__min_samples_split': 4}",0.8333659746703225,0.9675871523697611,0.9128149889019455,0.8779866823345084,0.8917577933735923,0.896702518330026,0.04397838931916804,3
27.260285997390746,2.0257764482776346,0.15341482162475586,0.038983422156400716,0.033804543351363014,9,sqrt,6,8,"{'rfc__ccp_alpha': 0.033804543351363014, 'rfc__max_depth': 9, 'rfc__max_features': 'sqrt', 'rfc__min_samples_leaf': 6, 'rfc__min_samples_split': 8}",0.7690951821386603,0.9698067632850241,0.8887583235409322,0.8757670714192454,0.9064142320874816,0.8819683144942687,0.06502015013707103,5
